protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
ALS Spinal Cord Gray and White Matter Study,2023-11,RECRUITING,2025-10-01,PRINCIPAL_INVESTIGATOR,Regina Schlaeger,"University Hospital, Basel, Switzerland",['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,80.0,ESTIMATED,"[{'name': 'Magnetic Resonance Imaging', 'description': 'Magnetic Resonance Imaging of the spinal cord using radially acquired Averaged Magnetization Inversion Recovery Acquisitions (rAMIRA)'}]","['Amyotrophic Lateral Sclerosis', 'Spinal Cord Magnetic Resonance Imaging']","All patients diagnosed with possible, probable, and definite Amyotrophic Lateral Sclerosis acc. to the El Escorial aged 18 years or older can participate in this study. Healthy control persons are chosen to individually match the included patients. Additionally, patients with other motor neuron diseases (not ALS) will be included."
Safety Study of VM202 to Treat Amyotrophic Lateral Sclerosis,2023-09,COMPLETED,2017-12,SPONSOR,,"Helixmith Co., Ltd.",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,18.0,ACTUAL,[{'name': 'VM202'}],"['ALS', ""Lou Gehrig's disease"", 'neurodegenerative disease']",
rTMS Treatment of Primary Progressive Aphasia,2023-03,COMPLETED,2022-08-31,SPONSOR,,Peking Union Medical College Hospital,"['Primary Progressive Aphasia', 'Repetitive Transcranical Magnetic Stimulation']",INTERVENTIONAL,40.0,ACTUAL,"[{'name': 'Magstim rTMS', 'description': 'The device is made in London,UK'}]",,
Study of Rasagiline in Patients With Amyotrophic Lateral Sclerosis,2016-10,COMPLETED,2016-08,PRINCIPAL_INVESTIGATOR,"Albert Christian Ludolph, Prof.",University of Ulm,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,252.0,ACTUAL,"[{'name': 'Rasagiline'}, {'name': 'Placebo', 'description': 'a sugar pill manufactured to mimic Rasagiline 1 mg tablet'}]","['amyotrophic lateral sclerosis', 'survival time', 'ALS functioning Rating Scale', 'quality of life', 'survival']",
Phase II Study of FTD/TPI (Lonsurf) in Metastatic Breast Cancers With or Without Prior Exposure to Fluoropyrimidines (LONBRECA),2022-04,RECRUITING,2024-10,SPONSOR,,"National University Hospital, Singapore",['Breast Cancer'],INTERVENTIONAL,86.0,ESTIMATED,"[{'name': 'Cohort A', 'description': 'Oral FTD/TPI at RP2D will be administered until disease progression, intolerable toxicity or patient withdrawal.'}, {'name': 'Cohort B', 'description': 'Oral FTD/TPI at RP2D will be administered until disease progression, intolerable toxicity or patient withdrawal.'}]","['FTD/TPI', 'TAS-102', 'Trifluridine']",
A follow-on Study to Assess Long-term Safety and Tolerability of i.c.v Administration of sNN0029 in Patients With ALS,2016-01,TERMINATED,2015-10,SPONSOR,,Newron Sweden AB,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,11.0,ACTUAL,"[{'name': 'sNN0029 infusion solution', 'description': '4 µg/day, continuous i.c.v administration'}]",,
A Biomarker Study to Evaluate MN-166 (Ibudilast) in Subjects With Amyotrophic Literal Sclerosis (ALS),2020-07,COMPLETED,2020-06-30,SPONSOR,,MediciNova,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,35.0,ACTUAL,"[{'name': 'ibudilast', 'description': 'Ibudilast is a small molecule that crosses the blood-brain barrier after oral administration16. Its potential as a neuroprotective agent is based on in vitro and in vivo evidence of its ability to reduce microglial activation, inhibit microglia-monocyte recruitment to the central nervous system (CNS), and trigger the release of neurotrophic factors.'}]",['ALS'],
HEALEY ALS Platform Trial - Regimen G DNL343,2023-05,ENROLLING_BY_INVITATION,2025-08,SPONSOR_INVESTIGATOR,"Merit E. Cudkowicz, MD","Merit E. Cudkowicz, MD",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,240.0,ESTIMATED,"[{'name': 'DNL343', 'description': 'DNL343 is administered orally once daily per day for 24 weeks.'}, {'name': 'Matching Placebo', 'description': 'Matching placebo is administered orally once daily per day for 24 weeks.'}]","['ALS', 'Placebo-Controlled', 'Double-Blind', 'Regimen Specific Appendix', ""Lou Gehrig's Disease"", 'DNL343', 'Denali Therapeutics']",
Nutritional Prognostic Factors in ALS,2018-04,COMPLETED,2016-07-31,PRINCIPAL_INVESTIGATOR,Michele Barone,University of Bari,"['Nutritional Deficiency', 'Neuro-Degenerative Disease', 'Gastrostomy']",OBSERVATIONAL,47.0,ACTUAL,"[{'name': 'Nutritional assessment', 'description': 'BMI and cholesterol levels evaluation'}]",,"This study included 47 consecutive patients referring to the Neurological ALS Tertiary Centre, Department of Basic Medical Sciences, Neurosciences and Sense Organs, who underwent PEG tube placement from 2006 to 2015 and were referred to the artificial nutrition team of the Gastroenterology Unit, Department of Emergency and Organ Transplantation, of the same University Hospital. All patients fulfilled revised El Escorial criteria for probable or definite classical ALS."
rTMS in Treatment of Spasticity,2022-11,TERMINATED,2022-08-16,SPONSOR,,"Hospital for Special Surgery, New York",['ALS'],INTERVENTIONAL,3.0,ACTUAL,"[{'name': 'Mag Stim', 'description': 'rTMS'}]",,
Bioavailability of GDC-0134 and the Effect of Food and Proton Pump Inhibitor on Pharmacokinetics of GDC-0134 in Healthy Female Participants,2018-04,COMPLETED,2017-12-14,SPONSOR,,"Genentech, Inc.",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,24.0,ESTIMATED,"[{'name': 'Reference capsule GDC-0134', 'description': 'Oral administration of a single dose of 200 milligrams (mg) GDC-0134 reference capsule administered as two 100 mg capsules.'}, {'name': 'Prototype capsule GDC-0134', 'description': 'Oral administration of a single dose of 200 mg GDC-0134 prototype capsule administered as one 200 mg capsule.'}, {'name': 'rabeprazole', 'description': 'Oral administration of 20 mg rabeprazole once daily on Days -3, -2 and -1 as well as on Day 1 two hours prior to each administration of GDC-0134 during Period 4.'}]",,
"A Study to Evaluate the Efficacy, Safety, Pharmacokinetics and Pharmacodynamics of ION363 in Amyotrophic Lateral Sclerosis Participants With Fused in Sarcoma Mutations (FUS-ALS)",2023-12,RECRUITING,2028-03,SPONSOR,,"Ionis Pharmaceuticals, Inc.",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,77.0,ESTIMATED,"[{'name': 'ION363', 'description': 'ION363 will be administered by IT bolus injection.'}, {'name': 'Placebo', 'description': 'Placebo will be administered by IT bolus injection.'}]","['Amyotrophic Lateral Sclerosis Participants With Fused in Sarcoma Mutations', 'Amyotrophic Lateral Sclerosis', 'Sarcoma Mutations']",
A Programme for Amyotrophic Lateral Sclerosis Care in Europe,2017-08,UNKNOWN,2018-03-31,SPONSOR,,Sheffield Teaching Hospitals NHS Foundation Trust,"['ALS (Amyotrophic Lateral Sclerosis)', 'MND (Motor Neurone DIsease)']",OBSERVATIONAL,115.0,ESTIMATED,,"['ALS, MND, Care, Patient journey']",A mix of incident and prevalent cases will be included in order to capture patients at different stages of the disease trajectory. The total study population will contain 600 patients (300 newly diagnosed and 300 prevalent).
Olanzapine for the Treatment of Appetite Loss in Amyotrophic Lateral Sclerosis (ALS),2011-03,UNKNOWN,,,,"Charite University, Berlin, Germany",['Amyotrophic Lateral Sclerosis (ALS)'],INTERVENTIONAL,40.0,ESTIMATED,"[{'name': 'Olanzapine', 'description': 'Randomized, placebo-controlled, parallel group trial to evaluate the effectiveness and tolerability of an oral dose of 10 mg Olanzapine in combination with Riluzole for the treatment of Loss of Appetite in patients with amyotrophic lateral sclerosis (ALS)'}]","['ALS', 'olanazapine', 'Loss of Apptetite', 'Appetite Loss', 'Malnutrition', 'Cachexia', 'Zyprexa']",
DIAGALS: Relation Between Tar DNA Binding Protein(TDP)-43 et Nrf-2 in ALS: a Track to Improve Diagnosis and Prognosis of the Disease,2023-01,NOT_YET_RECRUITING,2025-08,SPONSOR,,"University Hospital, Tours",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,60.0,ESTIMATED,"[{'name': 'Blood sample', 'description': 'The intervention is to take a blood sample every 6 months for 1 year which is not part of health routine care'}, {'name': 'Blood sample', 'description': 'The intervention is to take a blood sample at baseline.'}]",,
PET Scan of Brain Metabolism in Relation to Age and Disease,2002-08,COMPLETED,2002-08,,,National Institute of Neurological Disorders and Stroke (NINDS),"[""Alzheimer's Disease"", 'Brain Neoplasm', 'Niemann Pick Disease']",OBSERVATIONAL,123.0,,[{'name': '15 O Water'}],"[""Alzheimer's Disease"", 'Positron Emission Tomography', 'Brain Phospholipid', 'Fatty Acids', '11C Arachidonate', 'Signal Transduction', 'Brain']",
PRE-Symptomatic Studies in Amyotrophic Lateral Sclerosis,2023-03,ACTIVE_NOT_RECRUITING,2027-12,PRINCIPAL_INVESTIGATOR,Michael Benatar,University of Miami,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,100.0,ESTIMATED,,"['Disease onset', 'Disease progression']",People affected with ALS (either familial or sporadic) and healthy controls
Rapamycin Treatment for ALS,2022-08,COMPLETED,2022-02-15,PRINCIPAL_INVESTIGATOR,JESSICA MANDRIOLI,Azienda Ospedaliero-Universitaria di Modena,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,63.0,ACTUAL,"[{'name': 'Rapamycin', 'description': 'tablets containing Rapamycin/placebo will be administered based on body surface area and adjusted taking into consideration plasma rapamycin dosage'}, {'name': 'Placebo Oral Tablet', 'description': 'tablets containing Rapamycin/placebo will be administered based on body surface area and adjusted taking into consideration plasma rapamycin dosage'}]","['Amyotrophic Lateral Sclerosis', 'Motor Neuron Disease', 'Rapamycin']",
A Systematic Investigation of Phonetic Complexity Effects on Articulatory Motor Performance in Progressive Dysarthria,2022-05,COMPLETED,2022-02-28,PRINCIPAL_INVESTIGATOR,Mili Kuruvilla,University of Missouri-Columbia,"['Amyotrophic Lateral Sclerosis', 'Parkinson Disease']",INTERVENTIONAL,100.0,ACTUAL,"[{'name': 'Phonetic complexity effects on speech motor performance', 'description': 'Use of 3D electromagnetic articulography to examine phonetic complexity effects of single word stimuli at the articulatory kinematic level in talkers each with preclinical, mild, and moderate dysarthria, relative to healthy controls.'}]","['Dysarthria', 'Speech motor performance', 'Speech motor control', 'Speech kinematics']",
Safety of Caprylic Triglycerides in ALS: A Pilot Study,2018-04,COMPLETED,2018-04-25,PRINCIPAL_INVESTIGATOR,Dr. Dale J. Lange,Weill Medical College of Cornell University,['ALS'],INTERVENTIONAL,10.0,ESTIMATED,"[{'name': 'Axona', 'description': 'medical powder, supplement food'}]",,
Efficacy and Tolerability of Memantine in Frontotemporal Dementia (FTD) Patients,2005-01,COMPLETED,,,,Nantes University Hospital,['Dementia'],INTERVENTIONAL,52.0,ACTUAL,[{'name': 'memantine'}],"['frontotemporal dementia', 'Mémantine', 'Patients with frontotemporal dementia']",
Trial of Safety and Efficacy of Rasagiline in Patients With Amyotrophic Lateral Sclerosis (ALS),2018-04,COMPLETED,2013-05,SPONSOR_INVESTIGATOR,"Yunxia Wang, MD","Yunxia Wang, MD",['Amyotrophic Lateral Sclerosis (ALS)'],INTERVENTIONAL,36.0,ACTUAL,"[{'name': 'rasagiline', 'description': 'rasagiline 2 mg daily for 12 months'}]",,
Safety and Gut Microbiota Analysis of an Oral Microbiotherapy in Patients With Amyotrophic Lateral Sclerosis,2024-01,RECRUITING,2024-12,SPONSOR,,MaaT Pharma,"['Amyotrophic Lateral Sclerosis', 'ALS']",INTERVENTIONAL,15.0,ESTIMATED,"[{'name': 'MaaT033', 'description': 'MaaT033 is a Microbiome Ecosystem Therapy (MET), composed of allogeneic, full-ecosystem pooled biotherapeutic gut microbiota.'}]","['Microbiotherapy', 'Amyotrophic Lateral Sclerosis', 'Neurodegenerative disease', 'ALS']",
Arimoclomol in Amyotropic Lateral Sclerosis,2023-08,COMPLETED,2020-12-18,SPONSOR,,ZevraDenmark,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,245.0,ACTUAL,"[{'name': 'Arimoclomol', 'description': '2 capsules (2 x 124 mg arimoclomol base; equivalent to 2 x 200 mg arimoclomol citrate) taken 3 times daily'}, {'name': 'Placebo', 'description': '2 matched placebo capsules taken 3 times daily'}]","['Arimoclomol', 'ALS']",
Virtual Peer-to-peer Support Programme for Carers of MND,2023-04,RECRUITING,2024-12-31,PRINCIPAL_INVESTIGATOR,Louise Rose,King's College London,"['Motor Neuron Disease', 'Amyotrophic Lateral Sclerosis']",INTERVENTIONAL,154.0,ESTIMATED,"[{'name': 'Virtual peer-to-peer support', 'description': 'See arm description'}]",['caregiver'],
Language Treatment for Progressive Aphasia,2015-01,COMPLETED,2010-12,PRINCIPAL_INVESTIGATOR,Regina Jokel,Baycrest,"['Primary Progressive Aphasia', 'Nonfluent Progressive Aphasia', 'Semantic Dementia']",INTERVENTIONAL,7.0,ACTUAL,"[{'name': 'Errorless learning', 'description': 'Language testing,20 sessions of language therapy, and 2 neuroimaging sessions for participants with progressive aphasia Language testing and 1 imaging session for healthy controls'}]","['progressive aphasia', 'semantic dementia', 'neuroimaging', 'treatment', 'errorless learning']",
Noninvasive Ventilation in ALS Patients With Mild Respiratory Involvement,2007-04,COMPLETED,2007-09,,,Johns Hopkins University,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,60.0,ESTIMATED,[{'name': 'noninvasive positive pressure ventilation'}],"['bipap', 'lou gehrigs disease', 'motor neuron disease', 'respiratory muscles']",
tDCS Effect on Cognitive Functions From Patients With Alzheimer's Disease or Progressive Primary Aphasia,2017-10,UNKNOWN,2018-07-31,SPONSOR,,Centre Hospitalier Universitaire de Besancon,"[""Alzheimer's Disease"", 'Progressive Primary Aphasia', 'Early or Mild State']",INTERVENTIONAL,52.0,ESTIMATED,"[{'name': 'transcranial Direct Current Stimulation (tDCS)', 'description': 'After locating the stimulation areas, treatment will be delivered during 30-minute session. Treatment will be occur 2 session per day during 5 consecutive days. Subjects will be monitored during tDCS sessions for any side effects or adverse events.'}]",,
Electronic-health Application To Measure Outcomes REmotely Clinical Trial,2020-04,COMPLETED,2018-03,PRINCIPAL_INVESTIGATOR,"Anne-Marie Alexandra Wills, MD",Massachusetts General Hospital,"['Neurodegenerative Disease', 'Weight Loss', 'Amyotrophic Lateral Sclerosis', ""Parkinson's Disease"", ""Huntington's Disease"", 'Cachexia']",INTERVENTIONAL,78.0,ACTUAL,"[{'name': 'In-Person Nutritional Counseling by a Registered Dietitian'}, {'name': 'Nutritional counseling using an e-Health Application'}]",,
Longitudinal Multi-Modality Imaging in Progressive Apraxia of Speech,2023-11,RECRUITING,2028-06,PRINCIPAL_INVESTIGATOR,Jennifer Whitwell,Mayo Clinic,"['PPA', 'Non-fluent Aphasia', 'Apraxia of Speech', 'Primary Progressive Non-fluent Aphasia', 'Primary Progressive Aphasia']",INTERVENTIONAL,50.0,ESTIMATED,"[{'name': 'AV-1451', 'description': 'This is used to assess Tau burden in the brain.'}]","['apraxia of speech', 'non-fluent aphasia', 'aphasia']",
Intermuscular Coherence as a Biomarker for ALS,2023-05,RECRUITING,2025-12-31,SPONSOR,,University of Chicago,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,650.0,ESTIMATED,,['ALS'],"AIM 1: The study population includes patients with symptomatology suggestive of ALS who are referred to neuromuscular clinics at one of the four participating centers.

AIM 2: All healthy subjects between 20 and 80 years old.

AIM 3: Patients with suspected ALS who had an initially detectible IMC-βγ."
"Autologous Mesenchymal Bone Marrow Stromal Cells Secreting Neurotrophic Factors (MSC-NTF), in Patients With Amyotrophic Lateral Sclerosis (ALS)",2018-03,COMPLETED,2015-09,SPONSOR,,Brainstorm-Cell Therapeutics,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,14.0,ACTUAL,"[{'name': 'MSC_NTF cells transplantation by multiple intramuscular injections at 24 separate sites, in addition to a single intrathechal injection into the CSF'}]","['Mesenchymal Strmal Cells (MSC)', 'Amyotrophic Lateral Sclerosis (ALS)', 'Neuroprotection', 'Neurodegeneration', 'Stem cells']",
Hematopoietic Stem Cell Transplantation (HCT) for Inborn Errors of Metabolism,2017-12,TERMINATED,2010-02,SPONSOR,,"Masonic Cancer Center, University of Minnesota","[""Hurler's Syndrome"", 'Maroteaux-Lamy Syndrome', 'Sly Syndrome', 'Alpha Mannosidosis', 'Fucosidosis', 'Aspartylglucosaminuria', 'Sphingolipidoses', 'Krabbe Disease', ""Wolman's Disease"", 'Niemann-Pick Disease Type B', 'Niemann-Pick Disease, Type C']",INTERVENTIONAL,18.0,ACTUAL,"[{'name': 'Stem Cell Transplantation', 'description': ""The purpose of hematopoietic stem cell transplantation is to introduce blood producing cells from a normal donor. These cells can either provide what is missing in the body to the other cells, or can change the body's immune response to the substances that have accumulated in the body. These normal hematopoietic stem cells can come from bone marrow, peripheral blood (i.e., the blood circulating in our body's blood vessels) or umbilical cord blood (i.e., blood taken from the umbilical cord after a baby is born and umbilical cord is cut). The new donor cells repopulate the blood and bone marrow system and enter the organs of the body, including the brain. Wherever these cells go, they will produce the needed enzyme.""}, {'name': 'Cyclophosphamide', 'description': 'Days before Transplant Drug Frequency\n\n* 4 Cyclophosphamide Once, given over 2 hours\n* 3 Cyclophosphamide Once, given over 2 hours\n* 2 Cyclophosphamide Once, given over 2 hours\n* 1 Cyclophosphamide Once, given over 2 hours'}, {'name': 'Campath-1H', 'description': 'Days before Transplant Drug Frequency\n\n12 Campath-1H Once, given over 2 hours\n\n11 Campath-1H Once, given over 2 hours\n\n10 Campath-1H Once, given over 2 hours'}, {'name': 'Busulfan', 'description': 'Days before Transplant Drug Frequency\n\n9 Busulfan Four times per day\n\n8 Busulfan Four times per day\n\n7 Busulfan Four times per day\n\n6 Busulfan Four times per day'}]","['Inborn errors of metabolism', 'Sphingolipidoses', 'Recessive Leukodystrophies- GLD, Krabbe disease, MLD', 'Peroxisomal Disorders', 'Wolman syndrome', 'Niemann-Pick B patients', 'Niemann-Pick C subtype 2']",
